Team,Year,Week,Day,Date,,,OT,Record,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
Was,2003,4,Sun,9/28/12,boxscore,W,,3,3/1/12,,New England Patriots,20,17,15,253,134,119,,23,387,281,106,4,-0.58,2.48,1.04
Was,2003,5,Sun,10/5/12,boxscore,L,,3,3/2/12,@,Philadelphia Eagles,25,27,20,307,258,49,2,18,267,140,127,2,-13.58,4.45,4.54
Was,2003,6,Sun,10/12/12,boxscore,L,,3,3/3/12,,Tampa Bay Buccaneers,13,35,19,275,207,68,3,25,379,268,111,,-10.08,-20.9,6.85
Was,2003,7,Sun,10/19/12,boxscore,L,,3,3/4/12,@,Buffalo Bills,7,24,8,169,110,59,1,25,432,236,196,2,-17.99,-4.33,5.58
Was,2003,8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
Was,2003,9,Sun,11/2/12,boxscore,L,,3,3/5/12,@,Dallas Cowboys,14,21,13,213,124,89,,24,400,192,208,4,-8.02,-0.12,-2.06
Was,2003,10,Sun,11/9/12,boxscore,W,,4,4/5/12,,Seattle Seahawks,27,20,19,379,242,137,2,21,346,221,125,3,11.29,-7.19,0.44
Was,2003,11,Sun,11/16/12,boxscore,L,,4,4/6/12,@,Carolina Panthers,17,20,13,181,127,54,2,17,427,317,110,4,-18.31,8.42,6.07
Was,2003,12,Sun,11/23/12,boxscore,L,,4,4/7/12,@,Miami Dolphins,23,24,21,277,148,129,2,16,317,173,144,3,3.48,-3.48,-3.64
Was,2003,13,Sun,11/30/12,boxscore,L,,4,4/8/12,,New Orleans Saints,20,24,20,392,231,161,3,23,310,121,189,,-6.08,-8.39,12.22
Was,2003,14,Sun,12/7/12,boxscore,W,,5,5/8/12,@,New York Giants,20,7,20,288,138,150,,15,220,100,120,3,5.19,12.48,-4.23
Was,2003,15,Sun,12/14/12,boxscore,L,,5,5/9/12,,Dallas Cowboys,0,27,8,161,55,106,6,16,326,104,222,1,-31.29,6.08,2.23
Was,2003,16,Sun,12/21/12,boxscore,L,,5,5/10/12,@,Chicago Bears,24,27,15,286,242,44,,25,429,238,191,2,4.68,-12.88,4.94
Was,2003,17,Sat,12/27/12,boxscore,L,,5,5/11/12,,Philadelphia Eagles,7,31,16,260,181,79,2,24,332,249,83,,-7.77,-18.02,-0.3
Was,2002,1,Sun,9/8/12,boxscore,W,,1,Jan-00,,Arizona Cardinals,31,23,21,442,320,122,1,14,257,187,70,1,7.94,4.97,-2.92
Was,2002,2,Mon,9/16/12,boxscore,L,,1,1/1/12,,Philadelphia Eagles,7,37,11,179,90,89,3,22,451,283,168,,-18.03,-14.15,0.76
Was,2002,3,Sun,9/22/12,boxscore,L,,1,1/2/12,@,San Francisco 49ers,10,20,12,217,160,57,3,22,366,114,252,1,-10.3,-1.01,-0.19
Was,2002,4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
Was,2002,5,Sun,10/6/12,boxscore,W,,2,2/2/12,@,Tennessee Titans,31,14,25,442,286,156,,17,289,230,59,4,20.15,5.84,-6.02
Was,2002,6,Sun,10/13/12,boxscore,L,,2,2/3/12,,New Orleans Saints,27,43,20,318,264,54,5,16,311,192,119,1,-13.21,6.61,-11.07
Was,2002,7,Sun,10/20/12,boxscore,L,,2,2/4/12,@,Green Bay Packers,9,30,19,238,92,146,4,19,243,155,88,1,-18.11,-2.22,-1.31
Was,2002,8,Sun,10/27/12,boxscore,W,,3,3/4/12,,Indianapolis Colts,26,21,23,370,205,165,1,18,258,195,63,3,0.12,5.8,0.86
Was,2002,9,Sun,11/3/12,boxscore,W,,4,4/4/12,@,Seattle Seahawks,14,3,16,259,113,146,1,21,324,240,84,2,1.3,7.47,0.19
Was,2002,10,Sun,11/10/12,boxscore,L,,4,4/5/12,@,Jacksonville Jaguars,7,26,23,307,239,68,3,18,309,167,142,,-10.34,-2.11,-3.68
Was,2002,11,Sun,11/17/12,boxscore,L,,4,4/6/12,@,New York Giants,17,19,12,166,106,60,2,21,299,211,88,3,-13.41,16.51,-7.34
Was,2002,12,Sun,11/24/12,boxscore,W,,5,5/6/12,,St. Louis Rams,20,17,21,362,235,127,,25,364,280,84,2,15.91,-7.89,-4.17
